,name,avgMSE
73,hdn20_k5_lr0.001_reg0.001,2.86909857318196
64,hdn30_k5_lr0.001_reg0.001,2.9411995186479802
37,hdn60_k5_lr0.001_reg0.001,2.94553054212344
22,hdn80_k5_lr0.005_reg0.001,2.97454962981983
55,hdn40_k5_lr0.001_reg0.001,2.9809752706819506
46,hdn50_k5_lr0.001_reg0.001,2.99185410703974
19,hdn80_k5_lr0.001_reg0.001,3.02432121999614
10,hdn90_k5_lr0.001_reg0.001,3.04177607230119
1,hdn100_k5_lr0.001_reg0.001,3.0453491092999703
68,hdn30_k5_lr0.005_reg0.01,3.0503197474983996
31,hdn70_k5_lr0.005_reg0.001,3.0644760851532205
76,hdn20_k5_lr0.005_reg0.001,3.0685218615779304
67,hdn30_k5_lr0.005_reg0.001,3.1031248211346205
59,hdn40_k5_lr0.005_reg0.01,3.10668704863652
13,hdn90_k5_lr0.005_reg0.001,3.11938463785169
58,hdn40_k5_lr0.005_reg0.001,3.1394774062008604
50,hdn50_k5_lr0.005_reg0.01,3.13982621877739
77,hdn20_k5_lr0.005_reg0.01,3.1468558135121
82,hdn10_k5_lr0.001_reg0.001,3.15693006228424
40,hdn60_k5_lr0.005_reg0.001,3.1645009029074003
49,hdn50_k5_lr0.005_reg0.001,3.17146240043673
47,hdn50_k5_lr0.001_reg0.01,3.1810096485115804
29,hdn70_k5_lr0.001_reg0.01,3.18958106534262
11,hdn90_k5_lr0.001_reg0.01,3.1904867290968197
38,hdn60_k5_lr0.001_reg0.01,3.1925037710215496
20,hdn80_k5_lr0.001_reg0.01,3.1935828516677405
56,hdn40_k5_lr0.001_reg0.01,3.2036513530057205
74,hdn20_k5_lr0.001_reg0.01,3.2054988528091095
2,hdn100_k5_lr0.001_reg0.01,3.2092648789797997
65,hdn30_k5_lr0.001_reg0.01,3.21982995191219
14,hdn90_k5_lr0.005_reg0.01,3.2236337034287796
23,hdn80_k5_lr0.005_reg0.01,3.23036822226265
83,hdn10_k5_lr0.001_reg0.01,3.2304864184541295
41,hdn60_k5_lr0.005_reg0.01,3.2317128309281897
32,hdn70_k5_lr0.005_reg0.01,3.25479976030066
70,hdn30_k5_lr0.01_reg0.001,3.2555208352488303
28,hdn70_k5_lr0.001_reg0.001,3.2598382691814702
4,hdn100_k5_lr0.005_reg0.001,3.2690129034468196
79,hdn20_k5_lr0.01_reg0.001,3.27722184852636
5,hdn100_k5_lr0.005_reg0.01,3.28552010162177
52,hdn50_k5_lr0.01_reg0.001,3.32707021154302
80,hdn20_k5_lr0.01_reg0.01,3.36746769530869
86,hdn10_k5_lr0.005_reg0.01,3.39840809392687
17,hdn90_k5_lr0.01_reg0.01,3.41256471248905
88,hdn10_k5_lr0.01_reg0.001,3.44980394797906
81,hdn10_k5_lr0.001_reg0,3.46331670239043
89,hdn10_k5_lr0.01_reg0.01,3.4685996844496296
71,hdn30_k5_lr0.01_reg0.01,3.47329753504429
61,hdn40_k5_lr0.01_reg0.001,3.4785531184929503
8,hdn100_k5_lr0.01_reg0.01,3.50359620907421
85,hdn10_k5_lr0.005_reg0.001,3.5124204670375003
43,hdn60_k5_lr0.01_reg0.001,3.52215282927495
26,hdn80_k5_lr0.01_reg0.01,3.54214865814855
25,hdn80_k5_lr0.01_reg0.001,3.54223711248614
34,hdn70_k5_lr0.01_reg0.001,3.56396494358719
7,hdn100_k5_lr0.01_reg0.001,3.5722113611619104
16,hdn90_k5_lr0.01_reg0.001,3.58755519750611
44,hdn60_k5_lr0.01_reg0.01,3.6436217359646
62,hdn40_k5_lr0.01_reg0.01,3.68950443732893
35,hdn70_k5_lr0.01_reg0.01,3.7087606389011003
53,hdn50_k5_lr0.01_reg0.01,3.71129458768277
72,hdn20_k5_lr0.001_reg0,4.10013963239524
75,hdn20_k5_lr0.005_reg0,4.41904026273539
84,hdn10_k5_lr0.005_reg0,4.491925493458259
87,hdn10_k5_lr0.01_reg0,4.9865731081788
78,hdn20_k5_lr0.01_reg0,5.0730169843529005
63,hdn30_k5_lr0.001_reg0,5.09146198144984
66,hdn30_k5_lr0.005_reg0,5.4031892033696405
57,hdn40_k5_lr0.005_reg0,5.487453903808531
60,hdn40_k5_lr0.01_reg0,5.55578254169096
54,hdn40_k5_lr0.001_reg0,5.75339800163934
69,hdn30_k5_lr0.01_reg0,6.15961005699005
42,hdn60_k5_lr0.01_reg0,6.22094108094505
51,hdn50_k5_lr0.01_reg0,6.31823863126384
6,hdn100_k5_lr0.01_reg0,6.595080977931241
45,hdn50_k5_lr0.001_reg0,6.7154339368353
24,hdn80_k5_lr0.01_reg0,6.810847525253201
33,hdn70_k5_lr0.01_reg0,6.91911855877792
15,hdn90_k5_lr0.01_reg0,7.02792810648176
48,hdn50_k5_lr0.005_reg0,7.15827966616978
39,hdn60_k5_lr0.005_reg0,7.43405584803432
30,hdn70_k5_lr0.005_reg0,8.01791802123963
3,hdn100_k5_lr0.005_reg0,8.02375872334815
36,hdn60_k5_lr0.001_reg0,8.6811992129563
21,hdn80_k5_lr0.005_reg0,8.69636532801529
12,hdn90_k5_lr0.005_reg0,8.781671843071651
27,hdn70_k5_lr0.001_reg0,9.530661800629609
18,hdn80_k5_lr0.001_reg0,12.155847624251198
9,hdn90_k5_lr0.001_reg0,13.080837844350901
0,hdn100_k5_lr0.001_reg0,16.5183332486591
