,name,avgMSE
73,hdn20_k5_lr0.001_reg0.001,2.86909857318196
64,hdn30_k5_lr0.001_reg0.001,2.9411995186479802
37,hdn60_k5_lr0.001_reg0.001,2.94553054212344
22,hdn80_k5_lr0.005_reg0.001,2.97454962981983
55,hdn40_k5_lr0.001_reg0.001,2.9809752706819506
46,hdn50_k5_lr0.001_reg0.001,2.99185410703974
19,hdn80_k5_lr0.001_reg0.001,3.02432121999614
10,hdn90_k5_lr0.001_reg0.001,3.04177607230119
1,hdn100_k5_lr0.001_reg0.001,3.0453491092999703
68,hdn30_k5_lr0.005_reg0.01,3.0503197474983996
31,hdn70_k5_lr0.005_reg0.001,3.0644760851532205
76,hdn20_k5_lr0.005_reg0.001,3.0685218615779304
67,hdn30_k5_lr0.005_reg0.001,3.1031248211346205
59,hdn40_k5_lr0.005_reg0.01,3.10668704863652
13,hdn90_k5_lr0.005_reg0.001,3.11938463785169
58,hdn40_k5_lr0.005_reg0.001,3.1394774062008604
50,hdn50_k5_lr0.005_reg0.01,3.13982621877739
77,hdn20_k5_lr0.005_reg0.01,3.1468558135121
82,hdn10_k5_lr0.001_reg0.001,3.15693006228424
40,hdn60_k5_lr0.005_reg0.001,3.1645009029074003
