,name,avgMSE
33,hdn20_k5_lr0.005_reg0.001_mo0,2.9285882491035897
15,hdn80_k5_lr0.01_reg0.001_mo0.5,2.96977275406185
27,hdn40_k5_lr0.01_reg0.001_mo0,2.9761102724989503
39,hdn20_k5_lr0.01_reg0.001_mo0.5,2.9822505967115402
5,hdn100_k5_lr0.005_reg0.001_mo0.5,3.0068289310185294
23,hdn60_k5_lr0.01_reg0.001_mo0.5,3.0070291767830404
29,hdn40_k5_lr0.005_reg0.001_mo0.5,3.01179475542764
25,hdn40_k5_lr0.005_reg0.001_mo0,3.01197295045086
35,hdn20_k5_lr0.01_reg0.001_mo0,3.01752650544891
21,hdn60_k5_lr0.005_reg0.001_mo0.5,3.03228095165979
37,hdn20_k5_lr0.005_reg0.001_mo0.5,3.0331513187206203
7,hdn100_k5_lr0.01_reg0.001_mo0.5,3.03988522341304
11,hdn80_k5_lr0.01_reg0.001_mo0,3.04009924824029
13,hdn80_k5_lr0.005_reg0.001_mo0.5,3.0404724852445497
1,hdn100_k5_lr0.005_reg0.001_mo0,3.0491967307715697
19,hdn60_k5_lr0.01_reg0.001_mo0,3.0695112059340603
17,hdn60_k5_lr0.005_reg0.001_mo0,3.08870782020398
9,hdn80_k5_lr0.005_reg0.001_mo0,3.15554407169696
31,hdn40_k5_lr0.01_reg0.001_mo0.5,3.2805858450695697
3,hdn100_k5_lr0.01_reg0.001_mo0,3.29239697414038
32,hdn20_k5_lr0.005_reg0_mo0,3.8905448825193
36,hdn20_k5_lr0.005_reg0_mo0.5,3.9811749710262596
38,hdn20_k5_lr0.01_reg0_mo0.5,4.08388686793108
34,hdn20_k5_lr0.01_reg0_mo0,4.23210710537548
26,hdn40_k5_lr0.01_reg0_mo0,5.59759022989241
24,hdn40_k5_lr0.005_reg0_mo0,5.62959836917084
28,hdn40_k5_lr0.005_reg0_mo0.5,5.992511420981571
30,hdn40_k5_lr0.01_reg0_mo0.5,7.55361980603626
0,hdn100_k5_lr0.005_reg0_mo0,8.01668206088116
8,hdn80_k5_lr0.005_reg0_mo0,8.04519502584003
10,hdn80_k5_lr0.01_reg0_mo0,9.09438700864597
16,hdn60_k5_lr0.005_reg0_mo0,9.44545101108289
12,hdn80_k5_lr0.005_reg0_mo0.5,9.52767354781316
22,hdn60_k5_lr0.01_reg0_mo0.5,9.569249548731179
20,hdn60_k5_lr0.005_reg0_mo0.5,9.67947927056182
18,hdn60_k5_lr0.01_reg0_mo0,9.700246449546801
14,hdn80_k5_lr0.01_reg0_mo0.5,10.507707815227901
2,hdn100_k5_lr0.01_reg0_mo0,10.730731496030302
6,hdn100_k5_lr0.01_reg0_mo0.5,12.050793245312601
4,hdn100_k5_lr0.005_reg0_mo0.5,14.727322447814501
