,name,avgMSE
33,hdn20_k5_lr0.005_reg0.001_mo0,2.9285882491035897
15,hdn80_k5_lr0.01_reg0.001_mo0.5,2.96977275406185
27,hdn40_k5_lr0.01_reg0.001_mo0,2.9761102724989503
39,hdn20_k5_lr0.01_reg0.001_mo0.5,2.9822505967115402
5,hdn100_k5_lr0.005_reg0.001_mo0.5,3.0068289310185294
23,hdn60_k5_lr0.01_reg0.001_mo0.5,3.0070291767830404
29,hdn40_k5_lr0.005_reg0.001_mo0.5,3.01179475542764
25,hdn40_k5_lr0.005_reg0.001_mo0,3.01197295045086
35,hdn20_k5_lr0.01_reg0.001_mo0,3.01752650544891
21,hdn60_k5_lr0.005_reg0.001_mo0.5,3.03228095165979
37,hdn20_k5_lr0.005_reg0.001_mo0.5,3.0331513187206203
7,hdn100_k5_lr0.01_reg0.001_mo0.5,3.03988522341304
11,hdn80_k5_lr0.01_reg0.001_mo0,3.04009924824029
13,hdn80_k5_lr0.005_reg0.001_mo0.5,3.0404724852445497
1,hdn100_k5_lr0.005_reg0.001_mo0,3.0491967307715697
19,hdn60_k5_lr0.01_reg0.001_mo0,3.0695112059340603
17,hdn60_k5_lr0.005_reg0.001_mo0,3.08870782020398
9,hdn80_k5_lr0.005_reg0.001_mo0,3.15554407169696
31,hdn40_k5_lr0.01_reg0.001_mo0.5,3.2805858450695697
3,hdn100_k5_lr0.01_reg0.001_mo0,3.29239697414038
